flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
idle2pump,0,-1,2024-01-09,0,2946.4462890625,-42.75153350830078,636.2939453125,0,2987.355712890625
idle2pump,0,-1,2024-01-30,0,1798.275390625,-19.147258758544922,552.9324340820312,0,1805.3013916015625
idle2pump,0,-1,2024-02-06,0,3277.761962890625,-18.499614715576172,198.71705627441406,0,3262.180419921875
idle2pump,0,-1,2024-02-14,0,1537.7283935546875,-3.2994134426116943,369.9275207519531,0,1549.438720703125
idle2pump,0,-1,2024-03-23,0,2022.798828125,-0.07226866483688354,0.0,0,2010.96240234375
idle2pump,0,-1,2024-04-09,0,2004.46337890625,-15.502836227416992,171.71636962890625,0,2006.1650390625
idle2pump,0,-1,2024-04-24,0,3301.53173828125,-39.54417037963867,0.0,0,3169.691650390625
idle2pump,0,-1,2024-06-16,0,4064.6923828125,71.14838409423828,0.0,0,4034.30029296875
idle2pump,0,-1,2024-07-04,0,3604.387451171875,158.7518768310547,0.0,0,3591.676025390625
idle2pump,0,-1,2024-07-09,0,4393.84130859375,-11.001996040344238,0.0,0,4425.1669921875
idle2pump,0,-1,2024-07-19,0,3796.716064453125,-35.01692199707031,0.0,0,3676.2734375
idle2pump,0,-1,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2pump,0,-1,2024-08-05,0,5385.55712890625,-15.68202018737793,0.0,0,5371.50830078125
idle2pump,0,-1,2024-08-09,0,4810.5185546875,0.0013683140277862549,0.0,0,4801.98779296875
idle2pump,0,-1,2024-08-15,0,5043.619140625,-22.54229164123535,0.0,0,4975.71337890625
idle2pump,0,-1,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2pump,0,-1,2024-10-21,0,5321.5830078125,-10.093414306640625,314.8144836425781,0,5308.80078125
idle2pump,0,-1,2024-11-21,0,3900.714599609375,-73.62731170654297,761.7077026367188,0,3893.623779296875
idle2pump,0,-1,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2pump,1,0,2024-01-09,1,2925.51806640625,-15.79250431060791,507.7103576660156,0,2560.12255859375
idle2pump,1,0,2024-01-30,1,1792.518310546875,0.0,435.6889343261719,0,1646.8018798828125
idle2pump,1,0,2024-02-06,1,3264.992919921875,-18.869873046875,172.76657104492188,0,3077.0234375
idle2pump,1,0,2024-02-14,1,1564.71533203125,0.0,280.93280029296875,0,1438.840087890625
idle2pump,1,0,2024-03-23,1,2014.0213623046875,0.19760125875473022,0.0,0,1891.29248046875
idle2pump,1,0,2024-04-09,1,2009.767822265625,-13.586483001708984,157.04615783691406,0,2019.1058349609375
idle2pump,1,0,2024-04-24,1,3258.367919921875,-35.501434326171875,0.0,0,2648.36474609375
idle2pump,1,0,2024-06-16,1,4156.6669921875,25.4461612701416,0.0,0,4027.8642578125
idle2pump,1,0,2024-07-04,1,3961.241943359375,30.881303787231445,0.0,0,3580.07177734375
idle2pump,1,0,2024-07-09,1,4312.0966796875,-5.743963241577148,0.0,0,3987.12158203125
idle2pump,1,0,2024-07-19,1,3714.11962890625,-31.501422882080078,0.0,0,3103.26123046875
idle2pump,1,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2pump,1,0,2024-08-05,1,5385.38037109375,-15.67033576965332,0.0,0,4955.35986328125
idle2pump,1,0,2024-08-09,1,4858.89208984375,-8.403946876525879,0.0,0,4633.71875
idle2pump,1,0,2024-08-15,1,4972.96923828125,-24.631834030151367,0.0,0,4534.4873046875
idle2pump,1,0,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2pump,1,0,2024-10-21,1,5440.03125,-8.451920509338379,205.54608154296875,0,5013.09814453125
idle2pump,1,0,2024-11-21,1,3878.86328125,-74.6139907836914,644.31884765625,0,3333.22607421875
idle2pump,1,0,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2pump,2,0,2024-01-09,2,2890.854248046875,-13.84273910522461,436.7948303222656,0,1939.4134521484375
idle2pump,2,0,2024-01-30,2,1791.5606689453125,0.0,405.0455627441406,0,1178.9259033203125
idle2pump,2,0,2024-02-06,2,3250.564208984375,-13.716899871826172,119.71562194824219,0,2622.07080078125
idle2pump,2,0,2024-02-14,2,1585.9852294921875,0.0,176.98048400878906,0,1016.7902221679688
idle2pump,2,0,2024-03-23,1,2014.0213623046875,0.19760125875473022,0.0,0,1891.29248046875
idle2pump,2,0,2024-04-09,2,1977.858642578125,-5.66960334777832,132.62228393554688,0,1878.394775390625
idle2pump,2,0,2024-04-24,2,3273.402587890625,-24.97890853881836,0.0,0,2152.41015625
idle2pump,2,0,2024-06-16,2,4139.287109375,23.74498748779297,0.0,0,3776.313720703125
idle2pump,2,0,2024-07-04,2,3946.985595703125,30.93903350830078,0.0,0,3559.177734375
idle2pump,2,0,2024-07-09,2,4312.01513671875,-5.7390642166137695,0.0,0,3569.7705078125
idle2pump,2,0,2024-07-19,2,3610.8876953125,-27.426393508911133,0.0,0,2599.07861328125
idle2pump,2,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2pump,2,0,2024-08-05,2,5319.0361328125,-13.861708641052246,0.0,0,4536.54638671875
idle2pump,2,0,2024-08-09,2,4827.0205078125,-8.494298934936523,0.0,0,4354.1884765625
idle2pump,2,0,2024-08-15,1,4972.96923828125,-24.631834030151367,0.0,0,4534.4873046875
