flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed
active2idle,0,-1,2024-01-09,0,2946.4462890625,-42.75153350830078,636.2939453125,0
active2idle,0,-1,2024-01-30,0,1798.275390625,-19.147258758544922,552.9324340820312,0
active2idle,0,-1,2024-02-06,0,3277.761962890625,-18.499614715576172,198.71705627441406,0
active2idle,0,-1,2024-02-14,0,1537.7283935546875,-3.2994134426116943,369.9275207519531,0
active2idle,0,-1,2024-03-23,0,2022.798828125,-0.07226866483688354,0.0,0
active2idle,0,-1,2024-04-09,0,2004.46337890625,-15.502836227416992,171.71636962890625,0
active2idle,0,-1,2024-04-24,0,3301.53173828125,-39.54417037963867,0.0,0
active2idle,0,-1,2024-06-16,0,4064.6923828125,71.14838409423828,0.0,0
active2idle,0,-1,2024-07-04,0,3604.387451171875,158.7518768310547,0.0,0
active2idle,0,-1,2024-07-09,0,4393.84130859375,-11.001996040344238,0.0,0
active2idle,0,-1,2024-07-19,0,3796.716064453125,-35.01692199707031,0.0,0
active2idle,0,-1,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0
active2idle,0,-1,2024-08-05,0,5385.55712890625,-15.68202018737793,0.0,0
active2idle,0,-1,2024-08-09,0,4810.5185546875,0.0013683140277862549,0.0,0
active2idle,0,-1,2024-08-15,0,5043.619140625,-22.54229164123535,0.0,0
active2idle,0,-1,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0
active2idle,0,-1,2024-10-21,0,5321.5830078125,-10.093414306640625,314.8144836425781,0
active2idle,0,-1,2024-11-21,0,3900.714599609375,-73.62731170654297,761.7077026367188,0
active2idle,0,-1,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0
active2idle,1,0,2024-01-09,1,2915.63037109375,-39.12525939941406,601.9296875,0
active2idle,1,0,2024-01-30,1,1776.24951171875,-1.4707145690917969,394.99578857421875,0
active2idle,1,0,2024-02-06,1,3259.884033203125,-19.380409240722656,194.72010803222656,0
active2idle,1,0,2024-02-14,1,1577.5491943359375,0.0,308.2191162109375,0
active2idle,1,0,2024-03-23,1,2018.6602783203125,0.29433679580688477,0.0,0
active2idle,1,0,2024-04-09,1,1998.82373046875,-11.591330528259277,150.08938598632812,0
active2idle,1,0,2024-04-24,1,3283.760986328125,-39.31835174560547,0.0,0
active2idle,1,0,2024-06-16,1,4072.175537109375,65.42173767089844,0.0,0
active2idle,1,0,2024-07-04,1,3602.90234375,158.74655151367188,0.0,0
active2idle,1,0,2024-07-09,1,4340.09423828125,-5.680384159088135,0.0,0
active2idle,1,0,2024-07-19,1,3729.547607421875,-32.85491943359375,0.0,0
active2idle,1,0,2024-08-03,1,3473.86767578125,-22.22977638244629,0.0,0
active2idle,1,0,2024-08-05,1,nan,nan,nan,1
active2idle,1,0,2024-08-09,1,4821.646484375,-8.36314868927002,0.0,0
active2idle,1,0,2024-08-15,1,4990.28564453125,-16.635881423950195,0.0,0
active2idle,1,0,2024-10-05,1,3632.478515625,-62.063026428222656,493.8027648925781,0
active2idle,1,0,2024-10-21,1,5314.421875,-10.857880592346191,327.05450439453125,0
active2idle,1,0,2024-11-21,1,3865.04345703125,-52.67250061035156,665.0791625976562,0
active2idle,1,0,2024-12-13,1,7993.7294921875,-164.7583770751953,677.4736328125,0
active2idle,2,0,2024-01-09,2,2854.354736328125,-16.631725311279297,538.0050659179688,0
active2idle,2,0,2024-01-30,2,1738.825927734375,0.0,457.0971374511719,0
active2idle,2,0,2024-02-06,2,3232.3671875,-14.604809761047363,174.3502197265625,0
active2idle,2,0,2024-02-14,2,1535.2105712890625,0.0,310.2196044921875,0
active2idle,2,0,2024-03-23,2,2007.83740234375,0.7531558275222778,0.0,0
active2idle,2,0,2024-04-09,2,1973.1015625,-7.148521900177002,129.04254150390625,0
active2idle,2,0,2024-04-24,2,3321.724853515625,-28.566856384277344,0.0,0
active2idle,2,0,2024-06-16,2,4043.413330078125,47.62201690673828,0.0,0
active2idle,2,0,2024-07-04,2,3606.77197265625,155.75857543945312,0.0,0
active2idle,2,0,2024-07-09,2,nan,nan,nan,1
active2idle,2,0,2024-07-19,2,3691.75927734375,-31.866886138916016,0.0,0
active2idle,2,0,2024-08-03,2,3472.4111328125,-22.668607711791992,0.0,0
active2idle,2,0,2024-08-05,2,nan,nan,nan,1
