flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
pump2idle,1,0,2024-11-21,1,3723.075927734375,-62.98605728149414,918.611572265625,0,3758.275390625
pump2idle,1,0,2024-12-13,1,7925.96875,-180.86630249023438,964.375732421875,0,7858.90283203125
pump2idle,2,0,2024-01-09,2,2818.345703125,-33.066349029541016,658.0491333007812,0,2828.881591796875
pump2idle,2,0,2024-01-30,2,2154.303955078125,-39.275630950927734,18.041872024536133,0,2136.860107421875
pump2idle,2,0,2024-02-06,2,3383.54248046875,-17.215951919555664,0.0,0,3420.1044921875
pump2idle,2,0,2024-02-14,2,1828.88037109375,-31.392166137695312,9.391271591186523,0,1822.9801025390625
pump2idle,2,0,2024-03-23,2,1784.3956298828125,-1.5908318758010864,0.0,0,1717.506103515625
pump2idle,2,0,2024-04-09,2,1866.2374267578125,-11.907136917114258,200.1326446533203,0,1700.877197265625
pump2idle,2,0,2024-04-24,2,3144.797607421875,-41.086036682128906,0.0,0,3377.929931640625
pump2idle,2,0,2024-06-16,2,3949.813232421875,25.965364456176758,0.0,0,3918.83056640625
pump2idle,2,0,2024-07-04,2,3772.515380859375,32.57481384277344,0.0,0,3517.97607421875
pump2idle,2,0,2024-07-09,2,4452.5126953125,-29.60113525390625,0.0,0,4530.46533203125
pump2idle,2,0,2024-07-19,2,3704.355224609375,-37.39862060546875,0.0,0,3922.138916015625
pump2idle,2,0,2024-08-03,2,3340.106689453125,-20.752473831176758,0.0,0,3384.80908203125
pump2idle,2,0,2024-08-05,2,nan,nan,nan,1,5356.9658203125
pump2idle,2,0,2024-08-09,2,4799.02783203125,0.030161947011947632,0.0,0,4678.3037109375
pump2idle,2,0,2024-08-15,2,4750.23828125,-8.760808944702148,0.0,0,4687.81591796875
pump2idle,2,0,2024-10-05,2,3393.03271484375,-46.477874755859375,450.4141845703125,0,3311.984619140625
pump2idle,2,0,2024-10-21,2,5011.71630859375,-21.386371612548828,0.0,0,5033.361328125
pump2idle,2,0,2024-11-21,2,4340.5517578125,-88.36647033691406,398.4131164550781,0,4297.48974609375
pump2idle,2,0,2024-12-13,2,7636.759765625,-176.0244903564453,1220.7822265625,0,7498.3759765625
pump2idle,3,0,2024-01-09,3,3270.004638671875,-47.33753967285156,77.88847351074219,0,3160.807861328125
