flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
idle2turbine,1,0,2024-04-09,1,1994.3514404296875,-17.83356285095215,180.63882446289062,0,1972.6923828125
idle2turbine,1,0,2024-04-24,1,3389.7177734375,-53.05278778076172,0.0,0,3445.871826171875
idle2turbine,1,0,2024-06-16,1,4053.359130859375,74.51548767089844,0.0,0,4116.345703125
idle2turbine,1,0,2024-07-04,1,3599.96435546875,158.73684692382812,0.0,0,3587.2626953125
idle2turbine,1,0,2024-07-09,1,nan,nan,nan,1,4641.0908203125
idle2turbine,1,0,2024-07-19,1,3838.651611328125,-43.753684997558594,0.0,0,3937.55078125
idle2turbine,1,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,1,0,2024-08-05,1,5388.92041015625,-17.608007431030273,0.0,0,5576.380859375
idle2turbine,1,0,2024-08-09,1,4803.97900390625,-0.689079999923706,0.0,0,4906.685546875
idle2turbine,1,0,2024-08-15,1,5036.34619140625,-26.96402359008789,0.0,0,5155.37353515625
idle2turbine,1,0,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2turbine,1,0,2024-10-21,1,5314.42236328125,-28.606338500976562,384.80303955078125,0,5278.27001953125
idle2turbine,1,0,2024-11-21,1,3854.98291015625,-89.68331909179688,859.1455688476562,0,3874.06298828125
idle2turbine,1,0,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2turbine,2,0,2024-01-09,2,2907.893798828125,-38.15161895751953,625.5131225585938,0,3002.771484375
idle2turbine,2,0,2024-01-30,2,1761.4619140625,-0.49995070695877075,521.9851684570312,0,1802.7598876953125
idle2turbine,2,0,2024-02-06,2,3260.1669921875,-31.09441375732422,238.26181030273438,0,3248.186279296875
idle2turbine,2,0,2024-02-14,2,1521.033447265625,-3.800656795501709,308.9140930175781,0,1548.260498046875
idle2turbine,2,0,2024-03-23,1,2024.27392578125,-2.964327335357666,0.0,0,2058.306396484375
idle2turbine,2,0,2024-04-09,2,1977.9610595703125,-19.728944778442383,188.22518920898438,0,1936.949462890625
idle2turbine,2,0,2024-04-24,2,3366.115478515625,-52.37599182128906,0.0,0,3568.017822265625
idle2turbine,2,0,2024-06-16,2,4111.794921875,25.749019622802734,0.0,0,4098.81103515625
idle2turbine,2,0,2024-07-04,2,3545.477294921875,158.753173828125,0.0,0,3461.14990234375
idle2turbine,2,0,2024-07-09,2,4470.7978515625,-32.80502700805664,0.0,0,4816.6689453125
idle2turbine,2,0,2024-07-19,2,3851.0517578125,-48.69096755981445,0.0,0,4155.6640625
idle2turbine,2,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,2,0,2024-08-05,2,5361.7548828125,-24.678218841552734,0.0,0,5754.11279296875
idle2turbine,2,0,2024-08-09,2,4795.568359375,-1.4701226949691772,0.0,0,4998.07958984375
idle2turbine,2,0,2024-08-15,1,5036.34619140625,-26.96402359008789,0.0,0,5155.37353515625
idle2turbine,2,0,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2turbine,2,0,2024-10-21,2,5280.81787109375,-35.63456726074219,393.9689025878906,0,5265.9541015625
idle2turbine,2,0,2024-11-21,2,3801.9013671875,-100.73814392089844,969.7040405273438,0,3845.298828125
idle2turbine,2,0,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2turbine,3,0,2024-01-09,3,2887.091796875,-75.8447036743164,730.883056640625,0,2168.60791015625
idle2turbine,3,0,2024-01-30,3,1711.809326171875,-8.22094440460205,544.3298950195312,0,1790.083251953125
idle2turbine,3,0,2024-02-06,3,3227.60595703125,-37.92945861816406,260.9723205566406,0,3198.681884765625
idle2turbine,3,0,2024-02-14,3,1508.410888671875,-20.810001373291016,364.92071533203125,0,1548.864013671875
idle2turbine,3,0,2024-03-23,1,2024.27392578125,-2.964327335357666,0.0,0,2058.306396484375
idle2turbine,3,0,2024-04-09,2,1977.9610595703125,-19.728944778442383,188.22518920898438,0,1936.949462890625
idle2turbine,3,0,2024-04-24,3,3329.285400390625,-54.29545593261719,0.0,0,3555.79736328125
idle2turbine,3,0,2024-06-16,3,4040.233154296875,25.877628326416016,0.0,0,4052.12158203125
idle2turbine,3,0,2024-07-04,2,3545.477294921875,158.753173828125,0.0,0,3461.14990234375
idle2turbine,3,0,2024-07-09,3,4456.8740234375,-44.144981384277344,0.0,0,4716.4677734375
idle2turbine,3,0,2024-07-19,3,3807.91064453125,-55.482826232910156,0.0,0,4105.92919921875
idle2turbine,3,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,3,0,2024-08-05,2,5361.7548828125,-24.678218841552734,0.0,0,5754.11279296875
idle2turbine,3,0,2024-08-09,2,4795.568359375,-1.4701226949691772,0.0,0,4998.07958984375
idle2turbine,3,0,2024-08-15,1,5036.34619140625,-26.96402359008789,0.0,0,5155.37353515625
idle2turbine,3,0,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2turbine,3,0,2024-10-21,3,5229.494140625,-42.488983154296875,419.8844299316406,0,5167.9150390625
idle2turbine,3,0,2024-11-21,2,3801.9013671875,-100.73814392089844,969.7040405273438,0,3845.298828125
idle2turbine,3,0,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2turbine,4,0,2024-01-09,3,2887.091796875,-75.8447036743164,730.883056640625,0,2168.60791015625
idle2turbine,4,0,2024-01-30,4,1719.8831787109375,-48.29072570800781,469.4635009765625,0,1775.888427734375
idle2turbine,4,0,2024-02-06,4,3196.64404296875,-40.90309143066406,276.0223388671875,0,2769.097900390625
idle2turbine,4,0,2024-02-14,4,1492.9326171875,-41.43518829345703,366.7842102050781,0,1540.4520263671875
idle2turbine,4,0,2024-03-23,1,2024.27392578125,-2.964327335357666,0.0,0,2058.306396484375
idle2turbine,4,0,2024-04-09,2,1977.9610595703125,-19.728944778442383,188.22518920898438,0,1936.949462890625
idle2turbine,4,0,2024-04-24,4,3298.21875,-59.97957992553711,0.0,0,3501.495361328125
idle2turbine,4,0,2024-06-16,4,3967.184814453125,25.941789627075195,0.0,0,3815.36328125
idle2turbine,4,0,2024-07-04,2,3545.477294921875,158.753173828125,0.0,0,3461.14990234375
idle2turbine,4,0,2024-07-09,3,4456.8740234375,-44.144981384277344,0.0,0,4716.4677734375
idle2turbine,4,0,2024-07-19,3,3807.91064453125,-55.482826232910156,0.0,0,4105.92919921875
idle2turbine,4,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,4,0,2024-08-05,2,5361.7548828125,-24.678218841552734,0.0,0,5754.11279296875
idle2turbine,4,0,2024-08-09,2,4795.568359375,-1.4701226949691772,0.0,0,4998.07958984375
idle2turbine,4,0,2024-08-15,1,5036.34619140625,-26.96402359008789,0.0,0,5155.37353515625
idle2turbine,4,0,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2turbine,4,0,2024-10-21,4,5159.1455078125,-45.25080490112305,457.82086181640625,0,5032.09521484375
idle2turbine,4,0,2024-11-21,2,3801.9013671875,-100.73814392089844,969.7040405273438,0,3845.298828125
idle2turbine,4,0,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2turbine,5,0,2024-01-09,3,2887.091796875,-75.8447036743164,730.883056640625,0,2168.60791015625
idle2turbine,5,0,2024-01-30,5,nan,nan,nan,1,1760.5003662109375
idle2turbine,5,0,2024-02-06,4,3196.64404296875,-40.90309143066406,276.0223388671875,0,2769.097900390625
idle2turbine,5,0,2024-02-14,5,nan,nan,nan,1,1526.0853271484375
idle2turbine,5,0,2024-03-23,1,2024.27392578125,-2.964327335357666,0.0,0,2058.306396484375
idle2turbine,5,0,2024-04-09,2,1977.9610595703125,-19.728944778442383,188.22518920898438,0,1936.949462890625
idle2turbine,5,0,2024-04-24,5,3209.031982421875,-58.65936279296875,0.0,0,3464.5546875
idle2turbine,5,0,2024-06-16,4,3967.184814453125,25.941789627075195,0.0,0,3815.36328125
idle2turbine,5,0,2024-07-04,2,3545.477294921875,158.753173828125,0.0,0,3461.14990234375
idle2turbine,5,0,2024-07-09,3,4456.8740234375,-44.144981384277344,0.0,0,4716.4677734375
idle2turbine,5,0,2024-07-19,3,3807.91064453125,-55.482826232910156,0.0,0,4105.92919921875
idle2turbine,5,0,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,5,0,2024-08-05,2,5361.7548828125,-24.678218841552734,0.0,0,5754.11279296875
idle2turbine,5,0,2024-08-09,2,4795.568359375,-1.4701226949691772,0.0,0,4998.07958984375
idle2turbine,5,0,2024-08-15,1,5036.34619140625,-26.96402359008789,0.0,0,5155.37353515625
